date,open,high,low,close
2024-04-17 05:00:00,18.25,19.11,17.54,18.21
2024-04-18 05:00:00,17.93,18.37,17.21,18.0
2024-04-19 05:00:00,21.1,21.18,18.17,18.71
2024-04-22 05:00:00,18.62,18.72,16.69,16.94
2024-04-23 05:00:00,16.67,16.76,15.69,15.69
2024-04-24 05:00:00,15.77,16.38,15.58,15.97
2024-04-25 05:00:00,16.28,17.55,15.27,15.370000000000001
2024-04-26 05:00:00,15.540000000000001,16.06,14.92,15.030000000000001
2024-04-29 05:00:00,15.35,15.42,14.63,14.67
2024-04-30 05:00:00,14.8,15.9,14.67,15.65
2024-05-01 05:00:00,15.76,16.22,14.35,15.39
2024-05-02 05:00:00,15.1,16.09,14.6,14.68
2024-05-03 05:00:00,14.540000000000001,14.58,13.48,13.49
2024-05-06 05:00:00,14.0,14.02,13.44,13.49
2024-05-07 05:00:00,13.55,13.64,13.16,13.23
2024-05-08 05:00:00,13.22,13.51,12.94,13.0
2024-05-09 05:00:00,13.16,13.290000000000001,12.68,12.69
2024-05-10 05:00:00,12.77,12.96,12.5,12.55
2024-05-13 05:00:00,13.26,13.66,13.26,13.6
2024-05-14 05:00:00,13.72,14.030000000000001,13.27,13.42
2024-05-15 05:00:00,13.75,13.94,12.38,12.450000000000001
2024-05-16 05:00:00,12.48,12.67,12.33,12.42
2024-05-17 05:00:00,12.27,12.48,11.91,11.99
2024-05-20 05:00:00,12.25,12.59,12.07,12.15
2024-05-21 05:00:00,12.290000000000001,12.56,11.84,11.86
2024-05-22 05:00:00,12.05,12.81,11.78,12.290000000000001
2024-05-23 05:00:00,11.53,13.370000000000001,11.52,12.77
2024-05-24 05:00:00,12.81,12.870000000000001,11.89,11.93
2024-05-27 05:00:00,12.41,12.49,12.35,12.36
2024-05-28 05:00:00,12.51,13.44,12.36,12.92
2024-05-29 05:00:00,13.83,14.32,13.69,14.280000000000001
2024-05-30 05:00:00,14.77,14.780000000000001,13.67,14.47
2024-05-31 05:00:00,14.620000000000001,14.870000000000001,12.84,12.92
2024-06-03 05:00:00,13.21,14.31,13.0,13.11
2024-06-04 05:00:00,13.530000000000001,14.08,13.11,13.16
2024-06-05 05:00:00,13.11,13.25,12.6,12.63
2024-06-06 05:00:00,12.76,12.98,12.540000000000001,12.58
2024-06-07 05:00:00,12.75,13.08,12.11,12.22
2024-06-10 05:00:00,13.11,13.280000000000001,12.620000000000001,12.74
2024-06-11 05:00:00,12.82,13.47,12.780000000000001,12.85
2024-06-12 05:00:00,13.11,13.15,11.94,12.040000000000001
2024-06-13 05:00:00,12.030000000000001,12.68,11.88,11.94
2024-06-14 05:00:00,12.16,13.450000000000001,12.120000000000001,12.66
2024-06-17 05:00:00,13.05,13.290000000000001,12.5,12.75
2024-06-18 05:00:00,12.700000000000001,12.74,12.24,12.3
2024-06-19 05:00:00,12.32,12.55,12.32,12.48
2024-06-20 05:00:00,12.51,13.55,12.18,13.280000000000001
2024-06-21 05:00:00,13.3,13.780000000000001,12.99,13.200000000000001
2024-06-24 05:00:00,13.83,13.870000000000001,13.15,13.33
2024-06-25 05:00:00,13.46,13.52,12.84,12.84
2024-06-26 05:00:00,12.77,13.24,12.370000000000001,12.55
2024-06-27 05:00:00,12.67,12.77,12.21,12.24
2024-06-28 05:00:00,12.26,12.76,11.870000000000001,12.44
2024-07-01 05:00:00,13.040000000000001,13.26,12.1,12.22
2024-07-02 05:00:00,12.69,12.88,11.85,12.030000000000001
2024-07-03 05:00:00,12.13,12.23,11.950000000000001,12.09
2024-07-04 05:00:00,12.1,12.35,12.09,12.26
2024-07-05 05:00:00,12.42,12.61,11.84,12.48
2024-07-08 05:00:00,12.870000000000001,12.88,12.31,12.370000000000001
2024-07-09 05:00:00,12.47,12.61,12.35,12.51
2024-07-10 05:00:00,12.51,12.92,12.39,12.85
2024-07-11 05:00:00,12.88,13.33,12.23,12.92
2024-07-12 05:00:00,12.870000000000001,12.89,12.11,12.46
2024-07-15 05:00:00,12.81,13.26,12.75,13.120000000000001
2024-07-16 05:00:00,13.33,13.47,12.950000000000001,13.19
2024-07-17 05:00:00,13.57,14.88,13.540000000000001,14.48
2024-07-18 05:00:00,14.52,16.43,14.08,15.93
2024-07-19 05:00:00,16.03,17.19,10.620000000000001,16.52
2024-07-22 05:00:00,16.82,16.84,14.75,14.91
2024-07-23 05:00:00,15.34,15.35,13.9,14.72
2024-07-24 05:00:00,15.34,18.46,15.18,18.04
2024-07-25 05:00:00,18.36,19.36,16.42,18.46
2024-07-26 05:00:00,17.95,17.95,16.37,16.39
2024-07-29 05:00:00,16.66,17.21,16.23,16.6
2024-07-30 05:00:00,16.61,18.32,16.26,17.69
2024-07-31 05:00:00,16.67,16.77,15.71,16.36
2024-08-01 05:00:00,16.27,19.48,15.950000000000001,18.59
2024-08-02 05:00:00,20.3,29.66,20.01,23.39
2024-08-05 05:00:00,38.4,65.73,30.92,38.57
2024-08-06 05:00:00,32.660000000000004,34.77,24.02,27.71
2024-08-07 05:00:00,24.77,29.76,21.97,27.85
2024-08-08 05:00:00,29.0,29.47,23.36,23.79
2024-08-09 05:00:00,23.69,24.52,20.26,20.37
2024-08-12 05:00:00,20.72,21.19,18.89,20.71
2024-08-13 05:00:00,20.05,20.79,17.95,18.12
2024-08-14 05:00:00,18.37,18.490000000000002,16.12,16.19
2024-08-15 05:00:00,16.22,16.68,14.77,15.23
2024-08-16 05:00:00,15.280000000000001,15.76,14.65,14.8
2024-08-19 05:00:00,15.870000000000001,16.07,14.46,14.65
2024-08-20 05:00:00,14.790000000000001,15.93,14.780000000000001,15.88
2024-08-21 05:00:00,16.23,17.17,15.92,16.27
2024-08-22 05:00:00,16.21,18.06,15.76,17.55
2024-08-23 05:00:00,17.12,17.21,15.610000000000001,15.860000000000001
2024-08-26 05:00:00,16.27,16.67,15.81,16.15
2024-08-27 05:00:00,16.21,16.81,15.370000000000001,15.43
2024-08-28 05:00:00,15.51,17.89,15.46,17.11
2024-08-29 05:00:00,16.54,16.57,15.19,15.65
2024-08-30 05:00:00,15.67,16.04,14.780000000000001,15.0
2024-09-02 05:00:00,15.870000000000001,15.99,15.48,15.55
2024-09-03 05:00:00,15.76,21.990000000000002,15.71,20.72
2024-09-04 05:00:00,23.2,23.31,19.34,21.32
2024-09-05 05:00:00,20.75,21.53,19.21,19.900000000000002
2024-09-06 05:00:00,21.98,23.76,18.830000000000002,22.38
2024-09-09 05:00:00,21.32,21.41,19.29,19.45
2024-09-10 05:00:00,19.86,20.740000000000002,18.900000000000002,19.080000000000002
2024-09-11 05:00:00,19.41,21.41,17.55,17.69
2024-09-12 05:00:00,17.62,18.59,16.89,17.07
2024-09-13 05:00:00,17.03,17.18,16.23,16.56
2024-09-16 05:00:00,17.16,17.69,16.91,17.14
2024-09-17 05:00:00,17.16,18.080000000000002,16.67,17.61
2024-09-18 05:00:00,17.580000000000002,19.39,17.11,18.23
2024-09-19 05:00:00,17.21,17.27,16.21,16.330000000000002
2024-09-20 05:00:00,16.35,16.68,15.81,16.15
2024-09-23 05:00:00,16.71,16.95,15.75,15.89
2024-09-24 05:00:00,15.870000000000001,16.67,15.27,15.39
2024-09-25 05:00:00,15.82,15.82,15.17,15.41
2024-09-26 05:00:00,15.06,15.83,14.9,15.370000000000001
2024-09-27 05:00:00,15.64,16.97,15.200000000000001,16.96
2024-09-30 05:00:00,17.01,17.79,16.47,16.73
2024-10-01 05:00:00,16.96,20.73,16.61,19.26
2024-10-02 05:00:00,19.650000000000002,20.36,18.580000000000002,18.900000000000002
2024-10-03 05:00:00,19.63,20.75,19.16,20.490000000000002
2024-10-04 05:00:00,20.48,20.48,18.48,19.21
2024-10-07 05:00:00,20.76,23.03,20.650000000000002,22.64
2024-10-08 05:00:00,22.92,23.14,21.14,21.42
2024-10-09 05:00:00,21.98,22.01,20.71,20.86
2024-10-10 05:00:00,20.91,21.39,20.64,20.93
2024-10-11 05:00:00,20.87,21.16,20.14,20.46
2024-10-14 05:00:00,20.86,20.86,19.69,19.7
2024-10-15 05:00:00,19.61,20.89,19.44,20.64
2024-10-16 05:00:00,20.77,21.01,19.45,19.580000000000002
2024-10-17 05:00:00,19.55,19.650000000000002,18.88,19.11
2024-10-18 05:00:00,19.3,19.32,17.990000000000002,18.03
2024-10-21 05:00:00,18.78,19.34,18.36,18.37
2024-10-22 05:00:00,18.79,19.44,18.05,18.2
2024-10-23 05:00:00,18.21,20.47,18.18,19.240000000000002
2024-10-24 05:00:00,18.87,20.240000000000002,18.63,19.080000000000002
2024-10-25 05:00:00,19.22,20.51,18.23,20.330000000000002
2024-10-28 05:00:00,19.11,19.88,18.91,19.8
2024-10-29 05:00:00,19.75,20.53,19.06,19.34
2024-10-30 05:00:00,19.330000000000002,20.44,19.3,20.35
2024-10-31 05:00:00,21.44,23.42,21.12,23.16
2024-11-01 05:00:00,22.96,23.09,21.16,21.88
2024-11-04 06:00:00,22.5,23.07,21.73,21.98
2024-11-05 06:00:00,21.98,22.06,20.2,20.490000000000002
2024-11-06 06:00:00,16.06,16.82,15.44,16.27
2024-11-07 06:00:00,15.860000000000001,15.860000000000001,15.13,15.200000000000001
2024-11-08 06:00:00,15.13,15.33,14.66,14.94
2024-11-11 06:00:00,15.33,15.56,14.89,14.97
2024-11-12 06:00:00,15.09,15.370000000000001,14.69,14.71
2024-11-13 06:00:00,15.09,15.26,13.77,14.02
2024-11-14 06:00:00,14.17,14.32,13.59,14.31
2024-11-15 06:00:00,15.02,17.55,14.56,16.14
2024-11-18 06:00:00,16.6,17.0,15.35,15.58
2024-11-19 06:00:00,15.44,17.93,15.370000000000001,16.35
2024-11-20 06:00:00,16.19,18.79,16.04,17.16
2024-11-21 06:00:00,17.1,17.990000000000002,15.73,16.87
2024-11-22 06:00:00,16.67,17.56,15.24,15.24
2024-11-25 06:00:00,15.23,15.72,14.540000000000001,14.6
2024-11-26 06:00:00,14.950000000000001,15.030000000000001,13.88,14.1
2024-11-27 06:00:00,14.280000000000001,15.13,13.96,14.1
2024-11-28 06:00:00,14.07,14.07,13.870000000000001,13.9
2024-11-29 06:00:00,14.0,14.15,13.49,13.51
2024-12-02 06:00:00,14.08,14.1,13.3,13.34
2024-12-03 06:00:00,13.39,13.43,13.280000000000001,13.3
2024-12-04 06:00:00,13.16,13.61,12.89,13.450000000000001
2024-12-05 06:00:00,13.46,13.700000000000001,13.26,13.540000000000001
2024-12-06 06:00:00,13.620000000000001,13.74,12.700000000000001,12.77
2024-12-09 06:00:00,13.36,14.23,13.35,14.19
2024-12-10 06:00:00,14.3,14.540000000000001,13.86,14.18
2024-12-11 06:00:00,14.42,14.43,13.52,13.58
2024-12-12 06:00:00,13.73,13.950000000000001,13.39,13.92
2024-12-13 06:00:00,13.57,14.25,13.24,13.81
2024-12-16 06:00:00,14.370000000000001,14.69,13.99,14.69
2024-12-17 06:00:00,14.98,15.94,14.780000000000001,15.870000000000001
2024-12-18 06:00:00,15.57,28.32,14.82,27.62
2024-12-19 06:00:00,21.61,24.12,20.16,24.09
2024-12-20 06:00:00,24.14,26.51,17.82,18.36
2024-12-23 06:00:00,18.09,20.02,16.740000000000002,16.78
2024-12-24 06:00:00,16.97,17.04,14.27,14.27
2024-12-26 06:00:00,14.99,15.93,14.55,14.73
2024-12-27 06:00:00,15.38,18.45,15.290000000000001,15.950000000000001
2024-12-30 06:00:00,17.21,19.22,16.44,17.400000000000002
2024-12-31 06:00:00,17.39,17.81,16.68,17.35
2025-01-02 06:00:00,17.21,19.5,16.96,17.93
2025-01-03 06:00:00,17.66,17.94,16.11,16.13
2025-01-06 06:00:00,16.77,16.87,15.71,16.04
2025-01-07 06:00:00,16.48,18.900000000000002,15.790000000000001,17.82
2025-01-08 06:00:00,17.91,19.5,17.37,17.7
2025-01-09 06:00:00,18.51,18.52,17.95,18.07
2025-01-10 06:00:00,18.29,20.31,18.05,19.54
2025-01-13 06:00:00,21.18,22.04,19.150000000000002,19.19
2025-01-14 06:00:00,18.79,19.66,18.240000000000002,18.71
2025-01-15 06:00:00,19.080000000000002,19.14,15.96,16.12
2025-01-16 06:00:00,15.870000000000001,16.6,15.64,16.6
2025-01-17 06:00:00,16.19,16.23,15.530000000000001,15.72
2025-01-20 06:00:00,16.46,16.59,15.8,15.81
2025-01-21 06:00:00,16.29,16.29,14.93,15.06
2025-01-22 06:00:00,14.89,15.290000000000001,14.59,15.1
2025-01-23 06:00:00,15.280000000000001,15.39,14.59,15.02
2025-01-24 06:00:00,15.01,15.16,14.58,14.85
2025-01-27 06:00:00,18.830000000000002,22.51,17.57,17.900000000000002
2025-01-28 06:00:00,18.29,18.39,16.25,16.41
2025-01-29 06:00:00,16.42,18.080000000000002,16.17,16.56
2025-01-30 06:00:00,15.81,15.96,15.72,15.84
2025-01-31 06:00:00,15.450000000000001,17.09,14.9,16.43
2025-02-03 06:00:00,20.36,20.42,17.66,18.62
2025-02-04 06:00:00,18.78,19.11,16.78,17.21
2025-02-05 06:00:00,17.54,17.75,15.77,15.77
2025-02-06 06:00:00,15.88,16.15,14.99,15.5
2025-02-07 06:00:00,15.38,16.66,14.790000000000001,16.54
2025-02-10 06:00:00,16.580000000000002,16.61,15.700000000000001,15.81
2025-02-11 06:00:00,16.13,16.42,15.75,16.02
2025-02-12 06:00:00,15.91,17.18,15.64,15.89
2025-02-13 06:00:00,15.97,16.330000000000002,14.98,15.1
2025-02-14 06:00:00,15.08,15.42,14.74,14.77
2025-02-17 06:00:00,15.38,15.57,15.34,15.370000000000001
2025-02-18 06:00:00,15.57,16.03,15.35,15.35
2025-02-19 06:00:00,15.14,15.96,15.05,15.27
2025-02-20 06:00:00,15.610000000000001,16.63,15.120000000000001,15.66
2025-02-21 06:00:00,15.63,19.03,15.280000000000001,18.21
2025-02-24 06:00:00,18.080000000000002,20.240000000000002,17.31,18.98
2025-02-25 06:00:00,19.09,21.48,18.85,19.43
2025-02-26 06:00:00,18.96,20.06,17.830000000000002,19.1
2025-02-27 06:00:00,18.25,21.47,17.67,21.13
2025-02-28 06:00:00,21.21,22.400000000000002,19.05,19.63
2025-03-03 06:00:00,19.830000000000002,24.310000000000002,19.25,22.78
2025-03-04 06:00:00,22.96,26.35,21.71,23.51
2025-03-05 06:00:00,23.03,24.84,21.37,21.93
2025-03-06 06:00:00,22.6,25.92,22.39,24.87
2025-03-07 06:00:00,24.85,26.560000000000002,23.09,23.37
2025-03-10 05:00:00,24.7,29.560000000000002,24.68,27.86
2025-03-11 05:00:00,27.94,29.57,26.18,26.92
2025-03-12 05:00:00,26.88,26.91,23.89,24.23
2025-03-13 05:00:00,24.92,26.13,23.46,24.66
2025-03-14 05:00:00,24.35,24.36,21.48,21.77
2025-03-17 05:00:00,22.89,22.95,20.32,20.51
2025-03-18 05:00:00,20.830000000000002,22.57,20.41,21.7
2025-03-19 05:00:00,21.84,22.1,19.42,19.900000000000002
2025-03-20 05:00:00,19.52,21.17,19.3,19.8
2025-03-21 05:00:00,20.02,21.14,19.150000000000002,19.28
2025-03-24 05:00:00,19.13,19.14,17.46,17.48
2025-03-25 05:00:00,17.580000000000002,17.77,17.02,17.150000000000002
2025-03-26 05:00:00,17.23,19.07,16.97,18.330000000000002
2025-03-27 05:00:00,18.36,19.28,17.95,18.69
2025-03-28 05:00:00,19.080000000000002,22.18,18.92,21.650000000000002
2025-03-31 05:00:00,24.11,24.8,21.67,22.28
2025-04-01 05:00:00,22.06,23.52,21.580000000000002,21.77
2025-04-02 05:00:00,22.3,23.66,20.68,21.51
2025-04-03 05:00:00,26.38,30.02,24.93,30.02
2025-04-04 05:00:00,30.12,45.61,29.990000000000002,45.31
2025-04-07 05:00:00,60.13,60.13,38.58,46.980000000000004
2025-04-08 05:00:00,44.04,57.52,36.480000000000004,52.33
2025-04-09 05:00:00,50.980000000000004,57.96,31.900000000000002,33.62
2025-04-10 05:00:00,34.44,54.870000000000005,34.44,40.72
2025-04-11 05:00:00,40.800000000000004,46.12,36.85,37.56
2025-04-14 05:00:00,34.76,35.17,29.75,30.89
